,0
413,SIYA
414,SJS
415,SKIPPER
416,SKMEX
417,SNGM
418,SOLARA
419,SPAL
420,SPANDANA
421,SPECTRUM
422,SPRL
423,SRTY
424,SSW
425,STARHEAL
426,STLCS
427,STOVEKRA
428,STRCEM
429,SUBR
430,SUBX
431,SULA
432,SUMICHEM
433,SUPRIYA
434,SURYODAY
435,SUVENPHA
436,SWE
437,SWSOLAR
438,SYIL
439,SYRMA
440,TAJG
441,TALB
442,TANLA
443,TARC
444,TARSONS
445,TATVA
446,TCIEXP
447,TCNSBR
448,TCPL
449,TDPS
450,TEAM
451,TECHNOE
452,TEGA
453,TEJASNET
454,THEL
455,THYROCAR
456,TIINDIA
457,TJL
458,TMB
459,TMCH
460,TPS
461,TRE
462,TRID
463,TSTY
464,TTKP
465,TVSHLTD
466,TVSSCS
467,TWO
468,UGRO
469,UGSW
470,UJJIVAN
471,UJJIVANS
472,UNIPARTS
473,UPE
474,UTIAM
475,UTISENX
476,UTKARSHB
477,UTNIFTY
478,UTSM
479,UVC
480,VAMP
481,VARROC
482,VDI
483,VENUSPIP
484,VERANDA
485,VGM
486,VIJAYA
487,VIRESCEN
488,VL
489,VMART
490,VORG
491,VSCN
492,VSFI
493,VSSL
494,VSTT
495,VT
496,WELENT
497,WH
498,WHL
499,WNDT
500,XPRO
501,YASHO
502,YATHARTH
503,ZEN
