,0,1
169,BS_CUR_LIAB,BCORP
170,BS_CUR_LIAB,MLIFE
171,BS_CUR_LIAB,ENGR
172,BS_CUR_LIAB,JKBK
173,BS_CUR_LIAB,EID
174,BS_CUR_LIAB,ION
175,BS_CUR_LIAB,SHOP
176,BS_CUR_LIAB,RELG
177,BS_CUR_LIAB,JM
178,BS_CUR_LIAB,JUBLPHAR
179,BS_CUR_LIAB,ICEM
180,BS_CUR_LIAB,BBTC
181,BS_CUR_LIAB,KBL
182,BS_CUR_LIAB,KKB
183,BS_CUR_LIAB,JKI
184,BS_CUR_LIAB,KKF
185,BS_CUR_LIAB,MMTC
186,BS_CUR_LIAB,FDCLT
187,BS_CUR_LIAB,NAVA
188,BS_CUR_LIAB,SOBHA
189,BS_CUR_LIAB,VST
190,BS_CUR_LIAB,EDEL
191,BS_CUR_LIAB,SWH
192,BS_CUR_LIAB,SIB
193,BS_CUR_LIAB,AGIG
194,BS_CUR_LIAB,ARVND
195,BS_CUR_LIAB,TCO
196,BS_CUR_LIAB,PEC
197,BS_CUR_LIAB,HCC
198,BS_CUR_LIAB,JFI
199,BS_CUR_LIAB,ELSC
200,BS_CUR_LIAB,TPC
201,BS_CUR_LIAB,JI
202,BS_CUR_LIAB,IFCI
203,BS_CUR_LIAB,DCBB
204,BS_CUR_LIAB,SUNF
205,BS_CUR_LIAB,GRV
206,BS_CUR_LIAB,NELI
207,BS_CUR_LIAB,UFLX
208,BS_CUR_LIAB,GW
209,BS_CUR_LIAB,SOMC
210,BS_CUR_LIAB,DCB
211,BS_CUR_LIAB,UL
212,BS_CUR_LIAB,ORCP
213,BS_CUR_LIAB,PAISALO
214,BS_CUR_LIAB,HONDAPWR
215,BS_CUR_LIAB,MUK
216,BS_CUR_LIAB,BLCL
217,BS_CUR_LIAB,NRBBR
218,BS_CUR_LIAB,DYTC
219,BS_CUR_LIAB,BFUT
220,BS_CUR_LIAB,JPA
221,BS_CUR_LIAB,ICP
222,BS_CUR_LIAB,IGLY
223,BS_CUR_LIAB,HOE
224,BS_CUR_LIAB,KS
225,BS_CUR_LIAB,GOCL
226,BS_CUR_LIAB,ASFI
227,BS_CUR_LIAB,ASMN
228,BS_CUR_LIAB,PKI
229,BS_CUR_LIAB,ATFL
230,BS_CUR_LIAB,SM
231,BS_CUR_LIAB,PTCIF
232,BS_CUR_LIAB,HCBA
233,BS_CUR_LIAB,TNNP
234,BS_CUR_LIAB,RAMCO
235,BS_CUR_LIAB,KCPL
236,BS_CUR_LIAB,HMT
237,BS_CUR_LIAB,MTNL
238,BS_CUR_LIAB,ANY
239,BS_CUR_LIAB,MCF
240,BS_CUR_LIAB,EXL
