,ALTMAN_Z_SCORE,RETURN_COM_EQY,PE_RATIO,TOBIN_Q_RATIO,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_ASSET
count,900.0,900.0,900.0,900.0,900.0,900.0
mean,5.504530483456671,21.556856963835557,28.515828754311105,2.795521929789999,9.491746210111117,20.063481664154455
std,6.9240238430326535,19.372161273236593,57.428507879276495,3.3516401654758243,9.544243128575284,18.621632668459625
min,-6.171232456,-45.4643,-43.62277023,-14.51334504,-19.1132,-17.13244264
25%,0.575375,11.251976817500001,12.193175,1.128015,2.08861428575,2.241375
50%,2.68855,18.61083857,19.192060715,1.5348000000000002,6.7971,18.148899999999998
75%,8.365525,27.609825,29.7920137275,3.4954062500000003,14.920925,32.746849999999995
max,37.24232813,124.2165,946.4516,20.4109,57.4389,82.4341
