,ALTMAN_Z_SCORE,RETURN_COM_EQY,PE_RATIO,TOBIN_Q_RATIO,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_ASSET,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE
ALTMAN_Z_SCORE,1.0,0.5177041471839494,0.06157300720651192,0.7921503200426644,0.8098278887458737,-0.5866975580478291,0.029108335716353677,0.09111458496679482,0.07161446750731255
RETURN_COM_EQY,0.5177041471839494,1.0,-0.03905681418491646,0.6589396462180018,0.8070704302402407,-0.35850389946661954,-0.10920575680245223,-0.053445127747045705,0.008943438979189556
PE_RATIO,0.06157300720651192,-0.03905681418491646,1.0,0.1607576130243097,-0.028439036119961496,-0.04295708457875147,-0.07123385105338144,0.07315926055912551,0.06422711221266329
TOBIN_Q_RATIO,0.7921503200426644,0.6589396462180018,0.1607576130243097,1.0,0.6821942726934694,-0.41208505819573915,-0.10958790901473163,0.005359926590273772,0.04702336016461864
RETURN_ON_ASSET,0.8098278887458737,0.8070704302402407,-0.028439036119961496,0.6821942726934694,1.0,-0.56516757551905,-0.008145139808065095,0.027310694848854226,0.02974730474903295
TOT_DEBT_TO_TOT_ASSET,-0.5866975580478291,-0.35850389946661954,-0.04295708457875147,-0.41208505819573915,-0.56516757551905,1.0,0.04989322955390391,0.060958017241987926,0.15239073318143678
ENVIRON_DISCLOSURE_SCORE,0.029108335716353677,-0.10920575680245223,-0.07123385105338144,-0.10958790901473163,-0.008145139808065095,0.04989322955390391,1.0,0.7089430571079157,0.6309175164709583
SOCIAL_DISCLOSURE_SCORE,0.09111458496679482,-0.053445127747045705,0.07315926055912551,0.005359926590273772,0.027310694848854226,0.060958017241987926,0.7089430571079157,1.0,0.703553647870854
GOVNCE_DISCLOSURE_SCORE,0.07161446750731255,0.008943438979189556,0.06422711221266329,0.04702336016461864,0.02974730474903295,0.15239073318143678,0.6309175164709583,0.703553647870854,1.0
