,Entity,year,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,ESG_DISCLOSURE_SCORE,ALTMAN_Z_SCORE,RETURN_COM_EQY,PE_RATIO,TOBIN_Q_RATIO,NUMBER_OF_DIRECTORS_ON_BOARD,INDEPENDENT_DIRECTORS,CEO_DUALITY,BOARD_MEETING_ATTENDANCE_PCT,PCT_INDEPENDENT_DIRECTORS,PCT_IND_DIRECTORS_ON_AUDIT_CMTE,NUM_IND_DIR_ON_CMPNSTN_CMTE,PCT_OF_IND_DIRECTORS_ON_NOM_CMTE,CLASSIFIED_BOARD_SYSTEM,PCT_WOMEN_ON_BOARD,BOARD_DURATION,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_ASSET,IS_RD_EXPEND
874,Z,31-03-2016,2.3256,28.0702,39.2857,16.9421,10.0805,19.754,45.1517,5.0624,8.0,4.0,0.0,79.16,50.0,75.0,2.0,66.667,1.0,12.5,3.0,10.9967,21.5406,0.0
875,Z,31-03-2017,2.3256,28.0702,39.2857,16.9421,11.4893,38.6505,23.1539,5.3623,8.0,4.0,0.0,87.5,50.0,75.0,2.0,66.667,1.0,12.5,3.0,24.3785,21.4779,0.0
876,Z,31-03-2018,4.6512,33.3333,44.6429,20.6612,12.2046,20.7562,37.3701,5.2869,8.0,4.0,0.0,92.18,50.0,75.0,2.0,66.667,1.0,12.5,5.0,13.8316,13.7129,0.0
877,Z,31-03-2019,4.6512,33.3333,44.6429,20.6612,9.2828,19.0117,27.2978,3.6185,8.0,4.0,0.0,87.5,50.0,75.0,2.0,66.667,1.0,12.5,5.0,13.0251,8.6175,0.0
878,Z,31-03-2020,3.770290909,38.94735333,40.855,20.72376818,14.29691765,28.90531397,31.99713922,5.472793464,9.0,3.0,0.0,93.89151515,45.25181818,69.69768182,2.0,79.63022222,1.0,12.99257576,4.0,18.56923676,7.274428105,0.0
879,Z,31-03-2021,3.93292028,42.20093758,40.4554,21.50687098,14.77149494,30.13536127,32.42493808,5.698740729,9.0,3.0,0.0,96.0154662,43.87632867,69.01001748,2.0,85.18588889,1.0,13.65694639,4.0,19.27496373,7.015802408,0.0
880,Z,31-03-2022,4.09554965,45.45452182,40.0558,22.28997378,15.24607224,31.36540858,32.85273695,5.924687994,9.0,2.0,0.0,98.13941725,42.50083916,68.32235315,1.0,90.74155556,1.0,14.32131702,5.0,19.98069069,6.757176711,0.0
881,Z,31-03-2023,4.258179021,48.70810606,39.6562,23.07307657,15.72064954,32.59545588,33.28053581,6.15063526,10.0,2.0,0.0,100.2633683,41.12534965,67.63468881,1.0,96.29722222,1.0,14.98568765,5.0,20.68641765,6.498551015,0.0
882,YES,31-03-2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
883,YES,31-03-2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
884,YES,31-03-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
885,YES,31-03-2009,10.7143,15.0,37.5,18.4211,0.0,0.0,4.8828,0.9939,0.0,6.0,1.0,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2769,0.0
886,YES,31-03-2010,2.6786,13.3333,46.4286,16.2281,0.0,20.27,16.3706,1.1543,0.0,6.0,0.0,85.71,75.0,0.0,0.0,0.0,0.0,12.5,0.0,1.6117,13.3941,0.0
887,YES,31-03-2011,2.6786,13.3333,46.4286,16.2281,0.0,21.1266,14.6591,1.1178,0.0,6.0,0.0,85.71,75.0,0.0,0.0,0.0,0.0,12.5,0.0,1.5246,11.469,0.0
888,YES,31-03-2012,2.6786,13.3333,46.4286,16.2281,0.0,23.0677,13.2329,1.1132,7.0,6.0,0.0,85.71,75.0,0.0,0.0,0.0,0.0,12.5,0.0,1.4728,19.4826,0.0
889,YES,31-03-2013,21.4286,36.6667,64.2857,35.9649,0.0,24.812,11.741,1.0966,7.0,4.0,0.0,86.11,57.143,75.0,2.0,66.667,1.0,14.286,3.0,1.5057,21.245,0.0
890,YES,31-03-2014,18.75,31.6667,53.5714,30.7018,0.0,24.9365,9.2523,1.0717,9.0,5.0,0.0,73.75,62.5,75.0,2.0,66.667,1.0,12.5,3.0,1.5485,19.7416,0.0
891,YES,31-03-2015,29.4643,46.6667,53.5714,39.9123,0.0,21.271,16.5972,1.1646,11.0,7.0,0.0,84.21,70.0,71.429,2.0,66.667,1.0,10.0,5.0,1.6296,19.5098,0.0
892,YES,31-03-2016,29.4643,46.6667,53.5714,39.9123,0.0,19.897,14.3244,1.1369,11.0,6.0,0.0,85.0,54.546,80.0,2.0,66.667,1.0,9.091,5.0,1.6787,19.3509,0.0
893,YES,31-03-2017,40.1786,51.6667,53.5714,46.4912,0.0,18.6575,19.5494,1.2258,7.0,5.0,0.0,85.41,71.429,100.0,3.0,100.0,1.0,0.0,5.0,1.7564,18.2271,0.0
894,YES,31-03-2018,42.8571,51.6667,62.5,50.0,0.0,17.7151,16.5141,1.1423,8.0,6.0,0.0,95.08,75.0,80.0,2.0,66.667,1.0,12.5,5.0,1.605,24.2627,0.0
895,YES,31-03-2019,42.8571,51.6667,62.5,50.0,0.0,6.4942,37.1757,1.0966,11.0,7.0,0.0,100.0,70.0,83.333,2.0,66.667,1.0,10.0,5.0,0.4931,28.571,0.0
896,YES,31-03-2020,49.18828727,62.60611455,64.44802545,56.46729273,0.0,13.54728667,25.86806,1.168785455,10.0,6.0,0.0,93.33,67.1836,89.76171429,2.0,76.19071429,1.0,7.151533333,6.0,1.23306,26.86027818,0.0
897,YES,31-03-2021,53.69315182,67.40915182,66.39607364,60.42263091,0.0,12.40592788,27.53850182,1.177011818,11.0,6.0,0.0,94.54109091,66.98256364,92.03207143,2.0,77.38117857,1.0,6.526775758,6.0,1.187687273,28.20773818,0.0
898,YES,31-03-2022,58.19801636,72.21218909,68.34412182,64.37796909,0.0,11.26456909,29.20894364,1.185238182,11.0,6.0,0.0,95.75218182,66.78152727,94.30242857,2.0,78.57164286,1.0,5.902018182,7.0,1.142314545,29.55519818,0.0
899,YES,31-03-2023,62.70288091,77.01522636,70.29217,68.33330727,0.0,10.1232103,30.87938545,1.193464545,11.0,6.0,0.0,96.96327273,66.58049091,96.57278571,2.0,79.76210714,1.0,5.277260606,7.0,1.096941818,30.90265818,0.0
