,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,ALTMAN_Z_SCORE,TOBIN_Q_RATIO,RETURN_ON_ASSET,RETURN_COM_EQY,SALES_REV_TURN,IS_EPS,FNCL_LVRG,BOOK_VAL_PER_SH,PX_TO_BOOK_RATIO,NET_WORTH_GROWTH,TOT_DEBT_TO_COM_EQY,LIQUIDITY
count,10479.0,9870.0,10479.0,10479.0,10479.0,10479.0,10479.0,10458.0,10479.0,10479.0,10458.0,10479.0,10458.0,10479.0,10458.0,10477.0
mean,25.006863536597006,5.010993839918946,6.882993894455578,64.09042827559884,6.76098784235137,2.9734838629640232,7.006739316728695,14.472174431057564,85172.66126228648,88.56570806374654,14.491673771275579,24170.11206895696,4.389340916045132,42.49943123389637,201.21146292790212,1.8924578979412083
std,15.236183739891459,20.935838088142038,17.243731434431854,17.036102635050394,26.89694455340478,11.355716084973112,16.082455212963254,41.719882864423425,356988.6757101535,2563.4038591084986,760.8206374311604,1895755.6413041346,42.06312314371708,1230.7241676556528,2740.2500137868483,16.828601719992992
min,-104.8221,-203.9808,-129.2508,-209.6729,-99.1181,-74.4192,-423.017,-824.0678,-378559.7676,-17268.5981,-134.5838,-14454.2767,-1413.1189,-24180.9465,-23601.6028,-490.8893677111484
25%,16.27495,0.0,-0.2877,52.24905,1.6712500000000001,1.03605,2.4411,7.02065,5144.392,1.1803,1.602825,15.951550000000001,1.0792,4.976850000000001,9.108825,1.0275924709080775
50%,23.9413,2.084,5.0561,65.4771,3.042,1.5269,6.4141,15.19745,15856.7813,6.18,2.27115,51.8882,2.2691999999999997,13.8586,49.94965,1.4184354410567168
75%,32.8237,9.0003,16.90735,78.5972,6.265000000000001,2.8096,12.3514,23.885125,46647.37955,17.84,3.3968,135.3447,4.7653,26.9438,121.13365,2.141657812233547
max,76.9842,81.1839,69.8912,114.8405,699.6683,376.9291,107.8281,608.1343,8778350.0,207491.3544,74308.5429,192556080.2834,706.9794,106376.9802,93840.0314,1343.2415288638208
