,0
463,TNNP
464,KAUN
465,RAMCO
466,PSL
467,VKI
468,DCW
469,SKPI
470,GLIN
471,IGPL
472,RIIL
473,TRIL
474,63MOONS
475,REFX
476,KCPL
477,HMT
478,INST
479,PCCP
480,KIRI
481,SPET
482,MTNL
483,SVLS
484,DIGV
485,DPSC
486,STRT
487,TVTN
488,ANY
489,KTG
490,AREAL
491,MCF
492,OAL
493,EKCL
494,BCHI
495,PCJL
496,PRE
497,EXL
498,MPCH
