,Year,Company Name,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,ALTMAN_Z_SCORE,TOBIN_Q_RATIO,RETURN_ON_ASSET,FNCL_LVRG,BOOK_VAL_PER_SH,PX_TO_BOOK_RATIO,NET_WORTH_GROWTH,BS_CUR_ASSET_REPORT,BS_CUR_LIAB,TOT_DEBT_TO_COM_EQY,Liquidity
1001,2017,TECHM,54.5116,53.277,27.7811,82.36,5.9196,1.9152,11.5778,1.566,187.3101,2.4513,12.6538,163265.0,76233.0,8.3116,2.141657812233547
1002,2018,TECHM,56.7951,54.9985,32.9202,82.36,6.2743,2.2345,13.4497,1.6016,213.3183,2.9941,14.6351,181070.0,91471.0,12.7189,1.9795344972723596
1003,2019,TECHM,64.4804,58.6832,49.8186,84.8585,6.6454,2.4518,13.4544,1.6327,228.6151,3.3939,7.6501,215658.0,115616.0,9.8377,1.8652954608358705
1004,2020,TECHM,67.9107,67.2908,49.0024,87.357,4.9396,1.7355,11.3926,1.6818,250.2802,2.2595,7.5369,231723.0,121561.0,16.827,1.9062281488306283
1005,2021,TECHM,68.7355,68.7104,50.0605,87.357,6.9255,2.5571,11.3926,1.6818,250.2802,2.2595,7.5369,252553.0,115079.0,16.827,2.194605444955205
1006,2022,TECHM,68.8965,70.7641,48.4885,87.357,8.271,3.3335,13.1666,1.6818,306.3556,4.8945,7.5369,244557.0,137352.0,9.739,1.7805128429145554
1007,2023,TECHM,68.8965,70.7641,48.4885,87.357,6.9954,2.4956,10.6154,1.6607,317.3557,3.472,3.8638,244327.0,145514.0,9.8129,1.6790618084857811
1008,2003,VBL,-3.5264,-65.578,-21.0226,75.7418,-12.6866,-8.4397,-15.4554,17.9283,-44.2663,-16.8284,200.5814,-25496.1656,-20882.3913,1554.8248,1.2209408986603945
1009,2004,VBL,-1.1575,-60.8664,-18.6193,75.7418,-11.6015,-7.668,-14.0935,17.0185,-39.9973,-15.2595,190.4515,-22736.6804,-18047.402,1466.8535,1.2598312155954636
1010,2005,VBL,1.2115,-56.1548,-16.216,75.7418,-10.5163,-6.8964,-12.7316,16.1088,-35.7283,-13.6906,180.3216,-19977.1952,-15212.4127,1378.8822,1.3132167522644187
1011,2006,VBL,3.5805,-51.4433,-13.8128,75.7418,-9.4312,-6.1247,-11.3697,15.199,-31.4592,-12.1216,170.1917,-17217.7099,-12377.4233,1290.9108,1.391057692920626
1012,2007,VBL,5.9495,-46.7317,-11.4095,75.7418,-8.3461,-5.3531,-10.0078,14.2893,-27.1902,-10.5527,160.0619,-14458.2247,-9542.434,1202.9395,1.5151506104207797
1013,2008,VBL,8.3184,-42.0201,-9.0063,75.7418,-7.261,-4.5814,-8.6458,13.3795,-22.9212,-8.9838,149.932,-11698.7395,-6707.4447,1114.9682,1.7441425197288618
1014,2009,VBL,10.6874,-37.3086,-6.603,75.7418,-6.1758,-3.8098,-7.2839,12.4698,-18.6522,-7.4148,139.8021,-8939.2543,-3872.4553,1026.9969,2.308420267627105
1015,2010,VBL,13.0564,-32.597,-4.1997,75.7418,-5.0907,-3.0381,-5.922,11.56,-14.3832,-5.8459,129.6722,-6179.7691,-1037.466,939.0256,5.956599156020536
1016,2011,VBL,15.4253,-27.8854,-1.7965,75.7418,-4.0056,-2.2664,-4.5601,10.6503,-10.1142,-4.277,119.5423,-3420.2839,1797.5233,851.0543,-1.902775836062876
1017,2012,VBL,17.7943,-23.1738,0.6068,75.7418,-2.9205,-1.4948,-3.1982,9.7405,-5.8452,-2.7081,109.4124,-660.7987,4632.5127,763.083,-0.1426436888127689
1018,2013,VBL,20.1633,-18.4623,3.01,75.7418,-1.8353,-0.7231,-1.8363,8.8307,-1.5762,-1.1391,99.2825,5436.4,9659.72,1082.6892,0.5627906398943241
1019,2014,VBL,22.5323,-13.7507,5.4133,75.7418,-0.7502,0.0485,-0.6415,11.2535,2.6928,0.4298,59.3066,8588.93,12035.23,704.0134,0.7136490121086179
1020,2015,VBL,24.9012,-9.0391,7.8166,75.7418,0.3349,0.8202,2.9242,7.5997,7.4677,1.9987,96.5375,7302.02,13539.65,308.0848,0.5393064074772982
1021,2016,VBL,27.1301,0.4228,4.6856,76.0987,2.2341,2.0855,0.9145,3.914,13.7622,4.0966,151.172,8525.64,17275.33,111.3198,0.4935153192442633
1022,2017,VBL,32.2402,2.084,18.3797,76.0987,3.0246,2.9226,4.1553,2.9208,14.3569,6.7409,4.4776,9686.21,15888.48,115.559,0.6096372969598098
1023,2018,VBL,31.8982,2.084,17.3519,76.0987,3.3485,3.044,5.1761,3.003,16.2107,7.1686,12.9463,11407.47,17408.71,117.9744,0.6552737106885002
1024,2019,VBL,32.3006,5.7989,17.3519,73.6002,3.7593,3.0419,6.5046,2.707,25.621,6.146,66.5457,16718.84,22202.92,102.6665,0.7530018574133494
1025,2020,VBL,34.5539,10.0574,17.3519,76.0987,4.3941,3.7099,3.9057,2.4585,27.1265,7.5043,5.876,17996.76,24349.5,90.9732,0.7391018296063574
1026,2021,VBL,38.0042,15.222,22.5514,76.0987,5.8122,4.5887,7.6945,2.3725,31.4057,9.4282,15.7749,25461.13,30202.46,83.0107,0.8430151053920774
1027,2022,VBL,44.5126,32.981,24.3349,76.0987,10.155,7.9549,14.1266,2.3088,39.2763,16.8365,25.0612,34040.3,39687.54,76.1177,0.8577074819956088
1028,2023,VBL,29.6392,0.384,12.6231,75.7418,2.5052,2.3635,0.8876,7.0112,11.2309,5.1366,79.0228,4858.1718,10302.4913,587.1404,0.471553108712647
1029,2003,BRIT,12.7661,-19.8528,-5.4343,63.4004,3.3147,2.0826,15.239,1.2114,27.1955,1.8385,90.4851,2759.634,1912.464,8.375,1.4429730441984792
1030,2004,BRIT,14.5807,-17.0393,-3.8452,64.4441,4.1088,2.6127,16.3546,0.9759,31.228,2.0012,11.3163,2268.191,2546.073,4.997,0.8908585888935627
1031,2005,BRIT,16.3954,-14.2257,-2.2561,65.4878,6.8391,3.0585,20.1596,0.924,34.0374,2.4948,3.6927,2643.63,3094.527,4.997,0.854292109908881
1032,2006,BRIT,18.21,-11.4122,-0.6671,66.5315,10.6223,5.2332,17.7842,0.908,41.8749,4.2585,23.0263,3356.077,3142.399,2.0558,1.0679983668528408
1033,2007,BRIT,20.0247,-8.5987,0.922,67.5752,6.0624,3.1428,11.0046,1.2772,23.9432,5.2393,-42.8222,7154.685,4093.473,29.2141,1.7478275781958257
1034,2008,BRIT,26.0638,4.3491,6.8319,66.8573,5.6117,2.7943,14.1498,1.9838,28.9754,4.5677,21.0176,6008.168,4016.79,39.33,1.4957635325720289
1035,2009,BRIT,26.0638,4.3491,6.8319,66.8573,5.7951,2.7585,10.5217,2.029,30.1953,4.6367,4.21,9080.569,4865.069,37.4769,1.8664830858514028
1036,2010,BRIT,26.0638,4.3491,6.8319,66.8573,5.1086,3.3375,6.8668,2.9927,11.8374,13.5084,-60.7971,8988.404,6298.875,232.3078,1.4269856125101703
1037,2011,BRIT,27.9147,4.3491,6.8319,72.3961,5.7531,3.5472,8.5788,5.1444,13.6475,13.6472,15.2908,8221.3,5386.2,189.8049,1.526363670119936
1038,2012,BRIT,28.7496,4.3491,6.8319,74.8946,6.463,4.6233,11.5318,4.7073,17.1271,17.3117,25.4969,8718.7,12205.4,147.6672,0.7143313615285038
1039,2013,BRIT,28.7496,4.3491,6.8319,74.8946,6.9006,4.0352,13.9309,3.8525,23.3368,11.2473,36.3419,8620.9,12590.4,68.1162,0.6847201042063794
1040,2014,BRIT,29.7958,4.3491,6.8319,78.0253,9.1954,5.4219,19.8154,2.9428,33.2752,12.6731,43.0638,10456.5,12461.2,18.7643,0.8391246428915353
1041,2015,BRIT,33.055,5.5874,14.8126,78.5972,14.3746,9.8215,28.1065,2.3983,51.9117,20.7906,56.0073,16729.8,14768.7,11.6512,1.1327875845538198
1042,2016,BRIT,33.9503,7.2486,15.8404,78.5972,18.1786,9.6264,26.2289,1.8842,87.1709,15.4094,67.9916,17241.2,13298.4,5.9282,1.2964867954039585
1043,2017,BRIT,32.3408,2.4162,15.8404,78.5972,21.5002,10.1978,23.2672,1.5878,112.3501,15.0156,28.9117,23392.4,13454.0,4.2979,1.738694811951836
1044,2018,BRIT,37.964,16.7925,15.8404,81.0957,24.186,11.8464,21.604,1.5234,141.8563,17.5198,26.3242,31512.8,16479.7,5.8921,1.912219275836332
1045,2019,BRIT,41.1025,26.2156,15.8404,81.0957,26.5016,12.1982,20.2825,1.4922,176.984,17.4338,24.8668,35263.4,18514.1,3.6683,1.9046780561842056
1046,2020,BRIT,43.9594,29.5983,21.0399,81.0957,14.3411,8.6838,19.918,1.6271,183.094,14.6862,3.5168,36749.7,25784.6,35.2819,1.4252577119676086
1047,2021,BRIT,51.6045,43.4008,30.1995,81.0957,14.9611,11.4596,23.5177,1.9937,147.2863,24.6123,-19.4232,44194.6,36089.0,59.8003,1.2246002937183076
1048,2022,BRIT,49.9044,41.6793,26.8138,81.0957,12.5344,10.9203,19.6293,2.5445,106.2033,30.1912,-27.8933,39823.0,41471.4,96.9939,0.96025212556123
1049,2023,BRIT,49.9044,41.6793,26.8138,81.0957,14.0305,11.7533,27.5089,2.7707,146.7304,29.4564,38.16,47462.3,41344.0,84.8087,1.1479851973684212
1071,2003,HNDL,15.8042,5.0726,4.5218,37.7351,1.7361,0.8966,6.5978,1.6956,56.7824,0.803,7.152,42136.92,18520.04,53.668,2.275206749013501
1072,2004,HNDL,17.4057,6.0419,5.5211,40.5664,2.3177,1.3131,7.8487,1.9241,64.5837,1.6077,13.7389,37778.54,18031.96,53.1843,2.0950878329366303
1073,2005,HNDL,19.0072,7.0111,6.5204,43.3978,2.1328,1.2652,8.5089,2.0659,70.027,1.5783,8.7795,76155.31,29733.19,64.7418,2.561289589176271
1074,2006,HNDL,18.308,7.309,5.3507,42.1734,2.4331,1.5658,8.4154,2.2144,73.0388,2.2685,22.5939,106750.08,40853.93,67.2493,2.6129696702373555
1075,2007,HNDL,18.4187,7.6412,5.3507,42.1734,2.2397,1.0826,10.6857,2.1952,100.27,1.1785,37.2832,160470.15,52951.99,65.8679,3.030483840172957
1076,2008,HNDL,20.4607,8.1244,5.9855,47.1704,1.6294,1.0409,4.3715,3.3333,127.748,1.1721,34.8615,311430.3,198106.1,187.1539,1.5720379130173174
1077,2009,HNDL,24.6454,8.1244,5.9855,59.693,1.3495,0.8944,0.7011,4.1774,92.6512,0.5618,-8.8408,241411.1,195016.6,179.6502,1.2379002607983116
1078,2010,HNDL,24.6454,8.1244,5.9855,59.693,1.9745,1.1899,5.8315,3.6091,112.5629,1.6102,36.7196,290585.0,196801.0,119.66,1.4765422939924089
1079,2011,HNDL,26.4662,8.9701,10.6106,59.693,1.898,1.1299,3.1879,3.0475,151.5621,1.38,34.7123,324237.7,197724.8,101.5055,1.6398433580410754
1080,2012,HNDL,28.1762,8.9701,17.6239,57.8266,1.5984,0.9297,3.6473,3.0569,166.631,0.7766,9.9507,330171.2,203008.6,128.6124,1.626390212040278
1081,2013,HNDL,44.4623,38.1456,28.5671,66.5864,1.2917,0.8525,2.727,3.3014,184.4797,0.4965,10.7138,391144.6,231516.5,161.1965,1.689489086091056
1082,2014,HNDL,36.5356,16.9133,25.9976,66.5864,1.2021,0.9186,1.6746,3.421,196.6208,0.7209,14.9294,442656.9,315053.5,159.478,1.4050213693864693
1083,2015,HNDL,44.1605,22.8028,24.6675,84.8585,1.263,0.9184,0.6051,3.5767,185.563,0.6952,-5.606,472518.0,371425.8,178.6333,1.2721733385241414
1084,2016,HNDL,40.1066,17.6382,17.6542,84.8585,1.2042,0.842,-0.1759,3.6121,196.5907,0.4474,5.9435,448489.7,317091.8,164.8693,1.4143844148603024
1085,2017,HNDL,40.1066,17.6382,17.6542,84.8585,1.3999,0.9844,1.3148,3.3344,205.2707,0.9502,13.4269,501140.3,381635.1,126.9057,1.3131399601346945
1086,2018,HNDL,40.1066,17.6382,17.6542,84.8585,1.7441,0.9549,4.1265,2.9216,244.2724,0.8783,19.0907,499632.5,327606.7,93.4745,1.5250985404144664
1087,2019,HNDL,40.1066,17.6382,17.6542,84.8585,1.9053,0.9258,3.6558,2.6762,256.0056,0.8027,4.8298,540340.0,340250.0,90.8819,1.588067597354886
1088,2020,HNDL,40.1066,17.6382,17.6542,84.8585,1.5454,0.7828,2.337,2.7835,259.5585,0.3687,1.4191,662820.0,372170.0,117.0122,1.7809603138350754
1089,2021,HNDL,40.1066,17.6382,17.6542,84.8585,1.743,1.0365,1.9389,2.8776,296.0666,1.104,14.0885,676380.0,485030.0,101.3948,1.3945116796899162
1090,2022,HNDL,44.5327,25.4908,23.0955,84.8585,2.3079,1.2233,6.652,2.8524,347.8682,1.6371,17.5221,985430.0,772730.0,85.6134,1.2752578520311104
1091,2023,HNDL,44.5327,25.4908,23.0955,84.8585,2.3722,0.9836,4.5088,2.5889,421.7835,0.961,21.2492,893110.0,604570.0,69.5378,1.4772648328564104
1092,2003,GCPL,11.091,-20.6813,-25.2101,78.906,7.0355,6.3757,26.4856,3.8129,-35.9459,25.1768,111.9536,-12094.1456,-7612.754,114.4485,1.5886689100948224
1093,2004,GCPL,13.1774,-17.7963,-21.9587,79.0364,7.2992,6.2772,25.5315,3.6899,-28.8419,24.0439,106.118,-8480.5077,-4904.2963,109.8188,1.7291997019021874
1094,2005,GCPL,15.2637,-14.9114,-18.7073,79.1667,7.563,6.1787,24.5775,3.5669,-21.7379,22.9111,100.2825,-4866.8698,-2195.8385,105.189,2.2164060790445204
1095,2006,GCPL,17.3501,-12.0264,-15.4559,79.297,18.138,12.8111,23.6235,3.444,1.1472,52.4141,94.4469,1724.15,2567.168,87.3363,0.67161557015357
1096,2007,GCPL,19.4365,-9.1415,-12.2045,79.4273,8.3028,6.6509,31.7308,4.5237,1.7788,27.1848,55.0478,2775.3,2707.769,142.3035,1.0249397197471426
1097,2008,GCPL,26.9088,0.0,0.0,80.5238,7.2678,4.7939,25.3648,4.277,2.5322,16.2639,40.6276,3518.705,3382.801,109.0549,1.0401749910798772
1098,2009,GCPL,26.9088,0.0,0.0,80.5238,6.3297,3.414,18.4962,2.5212,7.414,5.9976,233.1227,7402.47,3299.619,48.5674,2.2434317416647196
1099,2010,GCPL,26.9088,0.0,0.0,80.5238,11.6322,5.5767,24.8404,1.7915,10.3258,8.4352,67.0438,9765.292,5665.925,3.8625,1.7235124008877631
1100,2011,GCPL,26.9088,0.0,0.0,80.5238,6.1257,3.2463,17.0205,2.2569,17.771,6.8557,80.7038,12370.7,13946.6,115.9748,0.887004717995784
1101,2012,GCPL,26.9088,0.0,0.0,80.5238,6.6927,3.2525,13.8339,2.3197,27.4659,5.8272,62.5339,20189.6,15484.0,66.9376,1.3039008008266595
1102,2013,GCPL,26.0738,0.0,0.0,78.0253,7.1557,4.008,11.6132,2.2413,32.4496,7.9919,18.1553,28483.7,22790.9,74.1416,1.249783904979619
1103,2014,GCPL,33.0852,0.7551,20.3144,78.0253,7.8712,4.0602,9.4814,2.2608,36.9726,7.7476,13.9558,28182.6,26999.4,62.85,1.0438231960710236
1104,2015,GCPL,34.2219,16.7925,7.104,78.5972,8.6508,4.4101,10.3951,2.1584,42.2062,8.2211,14.1784,30895.6,26028.2,63.0328,1.1870048639552484
1105,2016,GCPL,35.6906,20.1752,8.1318,78.5972,9.046,5.3833,8.7662,2.2013,41.7674,11.0198,-1.0145,34928.0,27146.0,61.6579,1.2866720695498417
1106,2017,GCPL,48.0837,37.9342,21.312,84.8585,8.0873,4.9601,11.4442,2.3817,51.8882,10.7372,24.2559,43780.5,33473.6,75.4615,1.3079113092108408
1107,2018,GCPL,45.4381,29.7493,21.5538,84.8585,9.3553,5.888,12.1049,2.3356,61.2363,11.9063,18.0379,51687.8,41759.7,56.0466,1.237743566165466
1108,2019,GCPL,36.1131,16.7925,12.7872,78.5972,9.891,5.4357,16.6456,2.0801,71.0933,9.6493,16.1163,46884.1,38917.8,46.5403,1.2046955377744886
1109,2020,GCPL,37.6421,16.7925,17.3821,78.5972,8.0996,4.032,10.2762,1.9206,77.2595,6.7416,8.6892,48083.4,45465.6,45.2622,1.0575775971283785
1110,2021,GCPL,43.2854,23.3162,27.8114,78.5972,13.6333,5.5626,11.7704,1.6865,92.3132,7.9041,19.5046,44724.1,41356.9,19.7477,1.081418094683112
1111,2022,GCPL,60.2756,41.8907,55.26,83.5942,14.1955,5.0202,11.7263,1.4488,113.0075,6.6128,22.4288,56872.7,39716.1,14.7486,1.4319809850413308
1112,2023,GCPL,60.2756,41.8907,55.26,83.5942,20.7623,5.87,10.1238,1.3267,134.8805,7.1778,19.3693,58059.7,32913.1,8.1888,1.764030127821445
1113,2003,CIPLA,-22.2001,-31.6675,-47.6588,12.5873,8.9733,3.5529,15.8156,1.3434,-36.6046,4.5749,22.978,-18980.0096,1582.25,12.5004,-11.99558198767578
1114,2004,CIPLA,-17.5717,-27.8503,-42.1675,17.165,8.9154,3.4968,15.3581,1.3509,-21.869,4.4988,22.2251,-10457.5753,4193.6075,12.7989,-2.493694343116279
1115,2005,CIPLA,-12.9433,-24.0331,-36.6761,21.7426,8.8575,3.4408,14.9007,1.3584,-7.1334,4.4228,21.4722,-1935.141,6804.965,13.0974,-0.2843719254985147
1116,2006,CIPLA,-8.3149,-20.2159,-31.1847,26.3202,8.7996,3.3847,14.4432,1.366,7.6022,4.3468,20.7193,6587.2932,9416.3225,13.3959,0.6995611290925943
1117,2007,CIPLA,-3.6865,-16.3988,-25.6933,30.8978,8.7418,3.3287,13.9857,1.3735,22.3378,4.2708,19.9664,15109.7275,12027.68,13.6944,1.2562462170593165
1118,2008,CIPLA,0.942,-12.5816,-20.2019,35.4754,6.8533,3.328,13.5282,1.381,48.311,4.5538,19.2135,38340.7,18062.7,15.4595,2.122645008774989
1119,2009,CIPLA,5.5704,-8.7644,-14.7106,40.053,6.2981,2.9149,12.4415,1.5296,55.9353,3.934,15.7817,43019.3,21421.9,21.6256,2.008192550614091
1120,2010,CIPLA,15.8636,5.5874,0.0,41.9025,13.8244,3.9082,15.4978,1.3619,73.6133,4.5963,35.9439,46127.2,12151.7,0.0858,3.795946246204234
1121,2011,CIPLA,17.2518,5.5874,4.1717,41.9025,9.9195,3.2288,12.4429,1.2647,83.0234,3.8742,12.7832,44431.3,16985.4,8.579,2.615852437976144
1122,2012,CIPLA,19.3743,5.5874,4.6252,47.8025,10.7389,2.8031,12.7517,1.2546,95.1392,3.2069,14.5932,50568.1,14131.9,0.3819,3.578294496847558
1123,2013,CIPLA,19.8169,6.9163,4.6252,47.8025,9.1399,2.8417,14.7068,1.2612,112.3233,3.3809,18.0621,67839.8,22776.3,10.723,2.9785259238770125
1124,2014,CIPLA,22.03,6.9163,4.6252,54.425,8.0718,2.5433,11.0798,1.3143,125.1723,3.0582,11.4393,56519.7,25635.8,12.4166,2.204717621451252
1125,2015,CIPLA,31.4053,1.7517,7.4063,84.8585,9.5361,3.9525,8.1095,1.3966,134.5208,5.2962,7.4738,75912.9,38811.3,15.7694,1.9559483964721611
1126,2016,CIPLA,31.4053,1.7517,7.4063,84.8585,4.6589,2.4016,7.3821,1.651,143.3463,3.5714,6.617,88412.3,77760.5,45.2423,1.1369821438905356
1127,2017,CIPLA,37.803,2.084,20.0121,91.1198,5.8141,2.6713,4.7736,1.7525,155.9168,3.803,8.9217,88046.3,33737.0,32.7862,2.609784509588879
1128,2018,CIPLA,52.54,31.8031,34.5526,91.1198,5.4704,2.2986,6.4265,1.6396,176.734,3.0863,13.4373,108141.0,38322.2,28.7998,2.821889139976306
1129,2019,CIPLA,62.4585,39.4141,56.7412,91.1198,5.3929,2.1518,6.5253,1.6013,186.3256,2.8386,5.5034,124266.3,37715.1,28.7513,3.2948686335181403
1130,2020,CIPLA,62.4585,39.4141,56.7412,91.1198,5.225,1.7746,6.4945,1.5475,195.5136,2.1628,5.0007,117061.8,43931.4,19.5978,2.664649885958563
1131,2021,CIPLA,64.2893,44.9109,56.7412,91.1198,8.9004,2.8849,9.8531,1.4319,227.2457,3.5869,16.263,132095.1,45915.5,10.9918,2.8769173808408928
1132,2022,CIPLA,63.6354,43.1894,56.4994,91.1198,11.5562,3.2618,9.6329,1.3341,258.3209,3.941,13.7241,147275.4,49132.1,5.0657,2.9975392869427524
1133,2023,CIPLA,63.6354,43.1894,56.4994,91.1198,10.5938,2.6725,9.907,1.2783,290.0051,3.1051,12.3123,172749.5,51096.7,3.431,3.380834770151498
1134,2003,DABUR,22.1844,-7.6581,-2.0325,76.043,3.7747,1.6887,10.3427,2.2131,2.4298,2.4624,5.9061,5220.33,3119.969,59.173,1.6731993170444963
1135,2004,DABUR,23.4608,-5.7165,-0.282,76.1843,5.8048,3.7039,13.5527,2.2933,1.6657,7.8694,-31.3269,3398.413,3556.194,60.5182,0.9556320605681242
1136,2005,DABUR,24.7372,-3.7749,1.4685,76.3255,5.8055,3.9886,18.6354,2.5681,2.1177,8.7398,27.2091,4075.271,5024.729,72.6256,0.8110429438085118
1137,2006,DABUR,26.0136,-1.8333,3.219,76.4668,11.0889,7.2371,21.358,2.3259,2.89,14.3021,36.58,5034.8,5181.524,35.0134,0.9716832345078398
1138,2007,DABUR,28.3271,5.5874,9.9758,69.2655,11.2646,7.8812,25.8258,2.2339,2.7789,17.0933,-3.5189,7200.849,6012.796,50.3212,1.1975874451752562
1139,2008,DABUR,31.0432,5.5874,9.9758,77.3931,9.7397,7.0478,25.587,2.372,3.5738,15.5016,28.7776,9465.435,8191.958,27.7765,1.155454532359663
1140,2009,DABUR,32.9343,8.1244,9.9758,80.5238,7.5426,5.1092,23.2177,2.3461,4.7326,10.4806,32.5841,10688.632,10307.53,27.7954,1.03697316427893
1141,2010,DABUR,32.9343,8.1244,9.9758,80.5238,10.517,7.1869,25.2862,2.2602,5.3908,14.7289,14.2382,13564.167,10872.3,19.1685,1.247589470489225
1142,2011,DABUR,31.8881,8.1244,9.9758,77.3931,6.7119,4.8885,18.8897,2.5875,7.9917,12.025,48.7198,19490.8,12137.6,75.5512,1.6058199314526758
1143,2012,DABUR,33.5077,9.846,9.9758,80.5238,7.5991,4.9897,15.7897,2.628,9.857,10.8147,23.4396,23153.0,15198.8,65.0625,1.5233439482064377
1144,2013,DABUR,33.5379,11.8695,13.0593,75.5268,8.5737,5.6244,17.0925,2.3431,12.0212,11.3924,22.0146,26890.7,19761.9,60.025,1.360734544755312
1145,2014,DABUR,35.2077,11.8695,13.0593,80.5238,10.2589,6.3977,18.2413,2.109,15.2308,11.7952,26.7634,30558.7,22937.9,35.8104,1.332236168088622
1146,2015,DABUR,32.0491,3.2619,16.6264,76.0987,13.1932,8.0883,18.6692,1.8998,19.0983,13.9044,26.2873,27305.7,24184.9,28.6464,1.129039193877171
1147,2016,DABUR,32.9041,3.2619,19.1959,76.0987,12.4294,6.7398,19.1915,1.7328,23.7082,10.5406,24.3422,32156.6,22534.8,19.307,1.4269751672968032
1148,2017,DABUR,40.2072,20.7792,23.6094,76.0987,12.8236,6.6915,17.4153,1.6261,27.5182,10.0788,16.2274,31144.7,22245.4,20.1125,1.4000512465498485
1149,2018,DABUR,41.0421,20.7792,23.6094,78.5972,14.1606,6.9922,16.4829,1.5571,32.3954,10.1372,17.7236,34397.5,24344.4,16.4277,1.4129532869982415
1150,2019,DABUR,42.4303,20.7792,27.7811,78.5972,18.2539,8.8911,16.8317,1.5116,31.8842,12.8214,-1.3115,35862.3,26603.1,12.4185,1.3480496633850945
1151,2020,DABUR,42.3599,21.1114,27.237,78.5972,20.313,8.7957,16.244,1.4538,37.3826,12.039,17.2963,48802.6,24638.8,7.9021,1.980721463707648
1152,2021,DABUR,42.8327,22.531,27.237,78.5972,20.7708,9.1004,16.7644,1.4157,43.3599,12.4654,16.013,47759.4,29341.9,6.7225,1.6276860053370776
1153,2022,DABUR,52.1577,42.1323,35.6409,78.5972,17.1365,8.0341,15.0376,1.4417,47.4094,11.31,9.366,43168.4,33225.4,12.2905,1.2992590006440856
1154,2023,DABUR,52.1577,42.1323,35.6409,78.5972,16.2355,7.4135,13.1629,1.4946,50.6449,10.7592,7.0629,42489.6,36094.3,13.081,1.1771831009328342
1155,2003,BHE,11.3474,-2.0649,-6.312,42.3002,1.9206,1.1105,10.5187,2.5365,1.3541,1.3431,24.9318,29429.6855,21970.75,6.4323,1.339493895292605
1156,2004,BHE,12.7919,-0.9208,-4.4032,43.5819,2.2636,1.6373,8.7632,3.176,1.6421,3.0618,21.2698,37320.5,28476.275,4.1634,1.3105822302952197
1157,2005,BHE,14.2365,0.2232,-2.4943,44.8636,2.8871,1.8321,10.5049,2.9285,2.0859,3.2357,27.0274,39120.0898,27560.6055,0.9537,1.419420549377988
1158,2006,BHE,15.681,1.3673,-0.5855,46.1453,3.7981,2.5951,12.271,2.5899,2.6696,5.0102,27.9813,47630.321,31768.861,0.4382,1.4992769492113678
1159,2007,BHE,17.1255,2.5113,1.3233,47.427,4.1058,2.5653,12.9517,2.3613,3.371,4.5066,26.2749,53810.314,32861.168,0.0878,1.6375046072616777
1160,2008,BHE,17.3121,5.527,4.1415,42.1734,3.5954,1.7361,12.8113,2.1819,4.1929,2.5714,24.3808,64725.863,37434.613,0.0627,1.7290378559543276
1161,2009,BHE,17.2015,5.1948,4.1415,42.1734,2.5772,1.3661,9.5566,2.1836,4.9225,1.8146,17.3999,79884.373,47484.798,0.0472,1.6823146852177828
1162,2010,BHE,21.5371,5.1948,4.5949,54.696,3.741,2.3878,8.1201,2.1736,5.6265,3.954,14.302,87832.505,50045.432,0.0288,1.755055386473635
1163,2011,BHE,21.5371,5.1948,4.5949,54.696,2.3467,1.6253,7.6957,2.3792,6.4805,2.6237,15.1789,123593.251,79140.629,0.0178,1.5616915427851856
1164,2012,BHE,22.9856,5.1948,6.1669,57.4654,2.0584,1.4264,5.9694,2.5984,7.3049,2.1085,12.7214,138176.522,88274.101,0.0095,1.565312140647006
1165,2013,BHE,25.5608,5.1948,13.5429,57.8266,1.9151,1.1855,6.0938,2.4356,8.1912,1.4247,12.1331,134081.38,78142.95,0.0089,1.715847430894278
1166,2014,BHE,25.6715,5.527,13.5429,57.8266,2.1152,1.1311,6.379,2.1759,9.1165,1.2719,11.2955,133587.663,71664.049,0.0062,1.8640819890039984
1167,2015,BHE,33.1757,17.6382,24.1233,57.6761,3.6557,2.1883,7.7991,2.0018,10.2485,3.3023,12.4175,140058.869,69661.899,0.3114,2.010551980502283
1168,2016,BHE,35.2781,17.6382,24.5163,63.5762,3.3289,2.0824,7.7914,1.9772,11.6744,3.1779,13.9134,158326.5,84510.3,0.307,1.873458028193013
1169,2017,BHE,35.2781,17.6382,24.5163,63.5762,3.7072,2.5501,8.4174,2.1317,10.4949,4.526,-16.3353,140665.0,87508.3,0.391,1.6074475221207587
1170,2018,BHE,35.6202,17.6382,25.5441,63.5762,3.643,2.395,7.8329,2.3209,10.9657,4.2998,3.6184,143045.2,98961.8,0.5867,1.4454587527712714
1171,2019,BHE,35.6202,17.6382,25.5441,63.5762,3.1322,1.6489,9.4839,2.3092,12.6016,2.4666,14.9185,158744.4,104487.5,0.0,1.5192668979543007
1172,2020,BHE,35.6202,17.6382,25.5441,63.5762,2.5142,1.3314,8.0757,2.3424,13.7782,1.8012,9.3365,187380.9,128657.2,0.0,1.4564353957648697
1173,2021,BHE,35.6202,17.6382,25.5441,63.5762,2.4242,1.6586,7.7969,2.5479,15.1298,2.7561,9.8103,237155.7,168318.1,0.0,1.4089732476780572
1174,2022,BHE,36.2237,17.6382,27.3579,63.5762,2.79,2.1524,7.5671,2.7158,16.8075,4.1807,11.0886,272937.1,195810.4,0.4289,1.3938845944852776
