,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,RETURN_ON_ASSET,RETURN_COM_EQY,BS_TOT_ASSET,FNCL_LVRG,PX_TO_BOOK_RATIO,Firm size
count,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0
mean,34.5976978125,16.3115625,11.532569062499999,68.3204209375,8.958244375,18.51335375,920267.3467428125,2.7114275,3.6982784374999995,11.994492923352272
std,15.367238593856996,23.223572712136562,5.122409789002569,11.95376412005959,11.356017850037741,27.56896079564658,2031273.0973110846,1.4776314264414934,11.77122072077947,2.0469629589727862
min,-28.3418,-80.1927,-9.4473,31.5857,-116.3296,-298.6789,-34785.8437,1.0979,-76.6928,6.825798849644184
25%,24.3134,0.7551,8.1045,62.7333,4.278449999999999,11.173375,29991.526325,1.653475,1.293275,10.326861259438886
50%,29.833849999999998,5.5088,9.94465,66.0747,8.51975,19.69525,136468.53100000002,2.0778999999999996,2.1212999999999997,11.823658271780879
75%,44.288825,34.6421,14.76295,78.5972,14.3949,25.59685,857746.75,3.404975,4.353225,13.662063988630328
max,76.5617,73.2105,25.5206,91.1198,39.0227,114.7456,16074310.0,9.11,97.8538,16.592732903371992
