,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,RETURN_ON_ASSET,RETURN_COM_EQY,BS_TOT_ASSET,FNCL_LVRG,PX_TO_BOOK_RATIO,Firm size
ESG_DISCLOSURE_SCORE,1.0,0.9093045139026009,0.9988893897572042,0.7475161093138663,-0.0778208260435993,-0.018427079160924686,0.4373224216520986,-0.0588592935971541,0.19708034339479238,0.6282685630254522
ENVIRON_DISCLOSURE_SCORE,0.9093045139026009,1.0,0.9151047065581421,0.49293275151789573,-0.09910147594643226,-0.03862285199332552,0.48664455780550026,-0.018167626903483412,0.026925129505133715,0.6734894149088431
SOCIAL_DISCLOSURE_SCORE,0.9988893897572042,0.9151047065581421,1.0,0.7419811628955059,-0.07287021048062665,-0.01489957966405682,0.4393708964406296,-0.06283452044958358,0.17011054854870505,0.6297001080386939
GOVNCE_DISCLOSURE_SCORE,0.7475161093138663,0.49293275151789573,0.7419811628955059,1.0,-0.004387680065074022,0.023502152432930194,0.3015420852790597,-0.17102375575921908,0.2800386321974927,0.2923143660586381
RETURN_ON_ASSET,-0.0778208260435993,-0.09910147594643226,-0.07287021048062665,-0.004387680065074022,1.0,0.9130762179052906,-0.12386004618057223,-0.4105097216920654,0.1419472294589438,-0.20091337050898322
RETURN_COM_EQY,-0.018427079160924686,-0.03862285199332552,-0.01489957966405682,0.023502152432930194,0.9130762179052906,1.0,-0.06388020733675955,-0.16410519754819122,0.1448877601945029,-0.0704638256855664
BS_TOT_ASSET,0.4373224216520986,0.48664455780550026,0.4393708964406296,0.3015420852790597,-0.12386004618057223,-0.06388020733675955,1.0,-0.0031579236120269673,-0.07222572811670602,0.6578277698191777
FNCL_LVRG,-0.0588592935971541,-0.018167626903483412,-0.06283452044958358,-0.17102375575921908,-0.4105097216920654,-0.16410519754819122,-0.0031579236120269673,1.0,-0.05575745524032325,0.23480889104709685
PX_TO_BOOK_RATIO,0.19708034339479238,0.026925129505133715,0.17011054854870505,0.2800386321974927,0.1419472294589438,0.1448877601945029,-0.07222572811670602,-0.05575745524032325,1.0,-0.1257036619717236
Firm size,0.6282685630254522,0.6734894149088431,0.6297001080386939,0.2923143660586381,-0.20091337050898322,-0.0704638256855664,0.6578277698191777,0.23480889104709685,-0.1257036619717236,1.0
