,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,RETURN_ON_ASSET,RETURN_COM_EQY,BS_TOT_ASSET,FNCL_LVRG,PX_TO_BOOK_RATIO,Firm size
count,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0
mean,34.8304,17.7589,11.6359,68.3204,8.9582,18.5134,920267.3467,2.7114,3.6983,11.9945
std,14.6936,20.8236,4.8476,11.9538,11.356,27.569,2031273.0973,1.4776,11.7712,2.047
min,2.1908,0.3272,1.9472,31.5857,-116.3296,-298.6789,-34785.8437,1.0979,-76.6928,6.8258
25%,24.3134,2.0,8.1045,62.7333,4.2784,11.1734,29991.5263,1.6535,1.2933,10.3269
50%,29.8338,5.5088,9.9446,66.0747,8.5198,19.6953,136468.531,2.0779,2.1213,11.8237
75%,44.2888,34.6421,14.763,78.5972,14.3949,25.5968,857746.75,3.405,4.3532,13.6621
max,76.5617,73.2105,25.5206,91.1198,39.0227,114.7456,16074310.0,9.11,97.8538,16.5927
