,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,FNCL_LVRG,RETURN_ON_ASSET,PX_TO_BOOK_RATIO,Firm size,Liquidity
ESG_DISCLOSURE_SCORE,1.0,0.6918490938069904,0.9999999999673476,0.6498165377917176,-0.008579465108339514,-0.08645802644127262,0.057860114216241605,0.4436286905786629,-0.09006432904216001
ENVIRON_DISCLOSURE_SCORE,0.6918490938069904,1.0,0.6918477447130261,0.12750474593157254,-0.09955900090412485,0.10913815655910006,-0.013280111302365937,0.20188651672045624,0.034961708476670184
SOCIAL_DISCLOSURE_SCORE,0.9999999999673476,0.6918477447130261,1.0,0.6498173319168344,-0.008580097724107586,-0.08645776995391755,0.057860817867653055,0.4436289564454512,-0.09006299882649582
GOVNCE_DISCLOSURE_SCORE,0.6498165377917176,0.12750474593157254,0.6498173319168344,1.0,0.13079031605993502,-0.1439863539572749,0.02541453626931895,0.27269900070672354,0.05589672494087511
FNCL_LVRG,-0.008579465108339514,-0.09955900090412485,-0.008580097724107586,0.13079031605993502,1.0,-0.4586795549092317,0.304566061738568,0.2766552857120482,-0.29465211701517635
RETURN_ON_ASSET,-0.08645802644127262,0.10913815655910006,-0.08645776995391755,-0.1439863539572749,-0.4586795549092317,1.0,-0.25798203559394994,-0.28628458499597337,0.348038868367525
PX_TO_BOOK_RATIO,0.057860114216241605,-0.013280111302365937,0.057860817867653055,0.02541453626931895,0.304566061738568,-0.25798203559394994,1.0,0.21034013323386805,-0.07773915875106148
Firm size,0.4436286905786629,0.20188651672045624,0.4436289564454512,0.27269900070672354,0.2766552857120482,-0.28628458499597337,0.21034013323386805,1.0,-0.22733150509472727
Liquidity,-0.09006432904216001,0.034961708476670184,-0.09006299882649582,0.05589672494087511,-0.29465211701517635,0.348038868367525,-0.07773915875106148,-0.22733150509472727,1.0
