,Year,Company Name,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,FNCL_LVRG,RETURN_ON_ASSET,BS_TOT_ASSET,PX_TO_BOOK_RATIO,Firm size,Liquidity
9007,2022,HGSL,32.7834,2.084,10.9278,76.0987,1.4213,86.8126,97165.467,0.5479,11.4842,3.691186637419663
9008,2023,HGSL,33.6385,2.084,11.2128,76.0987,1.2876,3.306,113643.796,0.6315,11.6408,2.6868119286255308
9198,2003,GRFL,0.0,0.0,0.0,0.0,1.3323,-2.0201,-20932.0299,7.5993,9.949,-0.1359193052917269
9199,2004,GRFL,28.7194,0.0,9.5731,82.36,1.3447,-1.4718,-18583.1782,7.3065,9.83,-0.1797710667212856
9200,2005,GRFL,28.7194,0.0,9.5731,82.36,1.3572,-0.9235,-16234.3264,7.0137,9.6949,-0.2330361419786609
9201,2006,GRFL,28.7194,0.0,9.5731,82.36,1.3696,-0.3753,-13885.4747,6.7209,9.5386,-0.2991100415897172
9202,2007,GRFL,28.7194,0.0,9.5731,82.36,1.3821,0.173,-11536.6229,6.4281,9.3533,-0.3832444952831706
9203,2008,GRFL,28.7194,0.0,9.5731,82.36,1.3945,0.7213,-9187.7712,6.1353,9.1256,-0.4940166361625341
9204,2009,GRFL,28.7194,0.0,9.5731,82.36,1.407,1.2696,-6838.9194,5.8425,8.8304,-0.646456407902788
9205,2010,GRFL,28.7194,0.0,9.5731,82.36,1.4194,1.8179,-4490.0677,5.5497,8.4096,-0.869520177873907
9206,2011,GRFL,28.7194,0.0,9.5731,82.36,1.4318,2.3662,-2141.2159,5.2569,7.6691,-1.2270838538464977
9207,2012,GRFL,28.7194,0.0,9.5731,82.36,1.4443,2.9145,207.6358,4.9641,5.3358,-1.8932990519042263
9208,2013,GRFL,28.7194,0.0,9.5731,82.36,1.4567,3.4628,2556.4876,4.6713,7.8464,-3.5712770641619436
9209,2014,GRFL,28.7194,0.0,9.5731,82.36,1.4692,4.0111,4905.3393,4.3785,8.4981,-15.837889378956666
9210,2015,GRFL,28.7194,0.0,9.5731,82.36,1.4816,4.5594,9471.7279,4.0857,9.1561,2.406101969246631
9211,2016,GRFL,28.7194,0.0,9.5731,82.36,1.3868,5.1416,10612.2028,3.7929,9.2698,3.2992876515538376
9212,2017,GRFL,28.7194,0.0,9.5731,82.36,1.6237,3.5133,12103.7734,3.5001,9.4013,4.188271567686796
9213,2018,GRFL,28.7194,0.0,9.5731,82.36,1.5061,7.3001,10685.1303,3.2073,9.2766,2.077901650712546
9214,2019,GRFL,28.7194,0.0,9.5731,82.36,1.3629,11.181,9227.8331,2.9145,9.13,0.9237574070931156
9215,2020,GRFL,28.7194,0.0,9.5731,82.36,1.6932,6.1209,24365.648,2.6217,10.1009,1.2326857697743654
9216,2021,GRFL,28.7194,0.0,9.5731,82.36,1.7326,3.9012,23996.423,2.3289,10.0857,1.2343372057835025
9217,2022,GRFL,28.7194,0.0,9.5731,82.36,1.5538,9.2587,24345.768,2.0361,10.1001,0.9923303272910085
9218,2023,GRFL,28.7194,0.0,9.5731,82.36,1.4418,9.7968,25037.876,1.7433,10.1281,0.7448466431419977
10647,2003,BFUT,0.0,0.0,0.0,0.0,2.2873,0.1679,6281.2754,0.1892,8.7453,1.2707890819431944
10648,2004,BFUT,10.2023,-0.5148,3.4008,42.2173,2.6124,2.7985,6946.2051,0.39,8.846,1.5646159659498655
10649,2005,BFUT,11.3873,-0.4522,3.7958,44.3658,2.1199,30.267,8738.4268,3.5248,9.0755,2.072700498332639
10650,2006,BFUT,12.5723,-0.3895,4.1908,46.5143,1.7218,8.787,8727.2637,12.5538,9.0742,1.078942310444807
10651,2007,BFUT,13.7573,-0.3269,4.5858,48.6628,1.6157,11.5949,10125.8447,14.2613,9.2228,1.3630319509613555
10652,2008,BFUT,14.9424,-0.2643,4.9808,50.8113,1.5859,11.3104,11665.2754,6.4927,9.3644,2.065451422432455
10653,2009,BFUT,18.2778,0.0,6.0926,54.696,3.5503,-1.0469,18390.795,31.6851,9.8196,3.0528832223622877
10654,2010,BFUT,18.2778,0.0,6.0926,54.696,19.9144,-5.1509,16639.3857,58.7485,9.7195,1.04749412848718
10655,2011,BFUT,18.2778,0.0,6.0926,54.696,19.9144,-5.5068,20939.2199,58.7485,9.9494,4.586124027670974
10656,2012,BFUT,18.2778,0.0,6.0926,54.696,19.9144,-2.351,20395.7169,58.7485,9.9231,2.3983610942215714
10657,2013,BFUT,18.2778,0.0,6.0926,54.696,19.9144,-2.2542,22559.4506,58.7485,10.0239,2.130634338759786
10658,2014,BFUT,18.2778,0.0,6.0926,54.696,19.9144,-2.3112,22498.9257,58.7485,10.0212,1.2460937911711598
10659,2015,BFUT,23.2673,0.0,7.7558,69.6267,19.9144,2.7399,22368.6427,58.7485,10.0154,1.6870035311632154
10660,2016,BFUT,26.265,0.0,8.755,78.5972,19.9144,0.1373,22387.9698,58.7485,10.0163,1.712114366843015
10661,2017,BFUT,26.265,0.0,8.755,78.5972,19.9144,0.1617,18740.488,58.7485,9.8384,1.8698518409059772
10662,2018,BFUT,29.2023,0.4228,9.7341,78.5972,19.9144,1.294,18419.14,58.7485,9.8211,1.7566053817119205
10663,2019,BFUT,29.2023,0.4228,9.7341,78.5972,19.9144,1.9988,20005.72,58.7485,9.9038,1.825686680037701
10664,2020,BFUT,28.6792,0.4228,9.5597,78.5972,19.9144,0.9458,21707.15,58.7485,9.9854,1.6102263202011735
10665,2021,BFUT,31.2242,0.7551,10.4081,78.5972,19.9144,-0.1143,21494.69,58.7485,9.9756,1.665719158612848
10666,2022,BFUT,31.2242,0.7551,10.4081,78.5972,19.9144,2.3635,21514.75,58.7485,9.9765,1.4391311370985684
10667,2023,BFUT,32.6225,0.7551,10.8742,78.5972,19.9144,5.6701,22368.786,58.7485,10.0154,1.307975377139966
11319,2003,SJET,0.0,0.0,0.0,0.0,,-4.9516,-74792.8551,,11.2225,0.2461205848300503
11320,2004,SJET,-5.1316,-2.029,-1.7105,10.529,0.451996954,-5.0921,-65878.7458,-5.27,11.0956,0.2443201906555238
11321,2005,SJET,-2.9386,-1.8352,-0.9795,14.5876,1.052243154,-5.2326,-56964.6365,-29.92,10.9502,0.2420263741566513
11322,2006,SJET,-0.7456,-1.6413,-0.2485,18.6462,3.052186178,-5.3731,-48050.5272,-94.0,10.78,0.2390040812175633
11323,2007,SJET,1.4475,-1.4475,0.4825,22.7048,5.418159152,-5.5136,-39136.4179,5.84,10.5748,0.2348407822194632
11324,2008,SJET,3.6405,-1.2537,1.2135,26.7634,5.656679825,-5.6541,-30222.3085,35.11,10.3163,0.2287399747313329
11325,2009,SJET,5.8335,-1.0598,1.9445,30.822,3.222056261,-5.7946,-21308.1992,-0.75,9.9668,0.2189390031492652
11326,2010,SJET,8.0265,-0.866,2.6755,34.8807,4.08901108,-5.9351,-12394.0899,-4.05,9.425,0.2006064851925467
11327,2011,SJET,10.2196,-0.6721,3.4065,38.9393,2.737209532,-6.0756,-3479.9806,4.84,8.1548,0.1540176088740752
11328,2012,SJET,12.4126,-0.4783,4.1375,42.9979,4.463336731,-6.2161,5434.1287,-6.79,8.6005,-0.2056844016359216
11329,2013,SJET,14.6056,-0.2844,4.8685,47.0565,6.340476928,-6.3566,30710.1,-5.75,10.3323,0.4538970462496938
11330,2014,SJET,21.0542,0.0,7.0181,63.0042,5.482121507,-33.411,29344.67,-0.74,10.2869,0.180325623057063
11331,2015,SJET,15.9441,0.0,5.3147,47.7122,4.348302611,-24.7987,26065.9,-1.03,10.1684,0.2320814199547986
11332,2016,SJET,15.9441,0.0,5.3147,47.7122,4.748869797,16.496,28467.06,-3.69,10.2565,0.2591109247301507
11333,2017,SJET,15.9441,0.0,5.3147,47.7122,4.989406956,14.6375,29906.15,-10.01,10.3058,0.2879032591034611
11334,2018,SJET,29.9266,1.2383,9.9755,76.0987,6.87623655,15.8978,40192.53,-174.79,10.6014,0.303686987795055
11335,2019,SJET,34.242,1.2383,11.414,84.8585,7.995514573,-6.8544,48046.49,-16.72,10.7799,0.3804077150219103
11336,2020,SJET,32.2704,1.2383,10.7568,78.9585,21.60848554,-10.6035,128605.53,-1.4,11.7645,0.3384861884045318
11337,2021,SJET,35.6302,1.2383,11.8767,84.8585,18.92954371,-8.5072,113516.91,-1.62,11.6397,0.3328357724924825
11338,2022,SJET,35.7409,1.5705,11.9136,84.8585,15.81984048,-16.6848,95545.56,-0.76,11.4674,0.2515061027844469
11339,2023,SJET,34.3527,1.5705,11.4509,84.8585,17.08028579,-17.4653,77705.731,-0.56,11.2607,0.2182819502500465
11655,2003,RIIL,0.0,0.0,0.0,0.0,1.7315,12.7165,2053.9035,4.9145,7.6275,0.9442875038867206
11656,2004,RIIL,5.22,-5.2839,1.74,43.3601,1.6946,12.1537,2181.0373,4.7331,7.6876,0.9870605861587356
11657,2005,RIIL,7.0091,-4.6345,2.3364,45.6146,1.6577,11.5909,2308.171,4.5517,7.7442,1.034497782083549
11658,2006,RIIL,8.7982,-3.9852,2.9327,47.8691,1.6208,11.0281,2435.3048,4.3703,7.7978,1.087405979270475
11659,2007,RIIL,10.5873,-3.3359,3.5291,50.1236,1.5839,10.4653,2562.4386,4.1889,7.8487,1.1467898074695315
11660,2008,RIIL,12.3763,-2.6866,4.1254,52.3781,1.547,9.9025,2689.5723,4.0075,7.8971,1.2139154676578867
11661,2009,RIIL,14.1654,-2.0373,4.7218,54.6326,1.5101,9.3397,4640.892,2.3163,8.4427,0.8612652110475962
11662,2010,RIIL,15.9545,-1.388,5.3182,56.8871,1.8709,6.3327,2299.465,6.7278,7.7404,7.386159710604028
11663,2011,RIIL,21.0542,0.0,7.0181,63.0042,1.2576,9.3849,2470.775,4.8222,7.8123,2.550173693489006
11664,2012,RIIL,20.1288,0.0,6.7096,60.2348,1.3235,8.6593,2982.779,3.0478,8.0006,1.143131143610645
11665,2013,RIIL,20.1288,0.0,6.7096,60.2348,1.3438,8.1264,3017.534,2.0261,8.0122,1.7645156332791234
11666,2014,RIIL,20.1288,0.0,6.7096,60.2348,1.2762,7.8549,3128.865,2.332,8.0484,2.200260012853243
11667,2015,RIIL,23.2673,0.0,7.7558,69.6267,1.2339,6.9611,3212.645,2.2698,8.0748,3.4159531335330233
11668,2016,RIIL,22.9152,0.0,7.6384,68.5731,1.1865,4.6968,3824.776,1.9933,8.2493,3.9752925072739904
11669,2017,RIIL,22.9152,0.0,7.6384,68.5731,1.1425,4.4393,3842.466,2.02,8.2539,2.1299861179873996
11670,2018,RIIL,33.0148,0.4228,11.0049,81.0957,1.1234,2.7797,3980.358,1.8485,8.2891,1.899946329536645
11671,2019,RIIL,37.6622,11.8695,12.5541,83.5942,1.115,2.3059,4100.228,1.3292,8.3188,2.5683221035932124
11672,2020,RIIL,39.0504,11.8695,13.0168,83.5942,1.1126,2.3553,4143.698,0.8344,8.3293,2.59601523801879
11673,2021,RIIL,39.1812,11.8695,13.0604,83.5942,1.1032,2.2363,4486.075,1.3362,8.4087,4.141713827815897
11674,2022,RIIL,39.1812,11.8695,13.0604,83.5942,1.0852,1.8176,4704.138,2.7022,8.4562,7.809181332933182
11675,2023,RIIL,36.2941,0.4228,12.098,83.5942,1.0933,3.7108,4764.942,2.7381,8.469,6.4100223930279006
