,Year,Company Name,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,FNCL_LVRG,RETURN_ON_ASSET,BS_TOT_ASSET,PX_TO_BOOK_RATIO,Firm size
8449,2010,VRLL,17.2216,0.0,5.7405,42.1734,5.7766,5.0459,6136.01,5.8282,8.7219
8450,2011,VRLL,21.0743,0.4228,7.0248,55.8399,5.554,7.6645,7345.33,5.7379,8.9018
8451,2012,VRLL,14.2742,0.4228,4.7581,38.0494,5.1949,9.2056,9323.3,5.6476,9.1403
8452,2013,VRLL,18.5494,0.4228,6.1831,50.8429,5.181,4.8172,9651.81,5.5573,9.1749
8453,2014,VRLL,19.3844,0.4228,6.4615,53.3414,4.0032,5.8689,9776.819,5.467,9.1878
8454,2015,VRLL,29.6047,0.4228,9.8682,78.5972,2.914,9.4493,9531.065,5.3767,9.1623
8455,2016,VRLL,29.6047,0.4228,9.8682,78.5972,2.1808,10.7886,9435.919,6.5527,9.1523
8456,2017,VRLL,33.0852,0.4228,11.0284,78.5972,1.7447,7.6589,8966.795,5.2641,9.1013
8457,2018,VRLL,33.5379,0.7551,11.1793,78.5972,1.5505,10.525,8622.622,5.8633,9.0621
8458,2019,VRLL,33.5379,0.7551,11.1793,78.5972,1.4849,9.9904,9778.197,3.9609,9.1879
8459,2020,VRLL,33.8497,1.2383,11.2832,78.5972,1.7445,8.181,12252.051,2.2613,9.4134
8460,2021,VRLL,33.9604,1.5705,11.3201,78.5972,1.9965,3.7188,11985.838,3.433,9.3915
8461,2022,VRLL,46.1523,34.5515,15.3841,78.5972,2.0651,12.4173,13802.819,6.7014,9.5326
8462,2023,VRLL,48.134,37.9342,16.0447,78.5972,2.0105,19.7555,18917.261,5.727,9.8478
8799,2003,NSE,10.3306,15.4959,3.4435,44.6429,4.4502,21.7895,351.8636,0.5852,5.8632
8800,2004,NSE,10.3306,15.4959,3.4435,44.6429,3.0422,4.7887,324.4012,1.4013,5.782
8801,2005,NSE,10.3306,15.4959,3.4435,44.6429,2.8198,15.6868,469.2167,3.4188,6.1511
8802,2006,NSE,10.3306,15.4959,3.4435,44.6429,2.8198,15.6868,3135.482,2.8674,8.0505
8803,2007,NSE,10.3306,15.4959,3.4435,44.6429,2.8198,15.6868,4471.207,2.9634,8.4054
8804,2008,NSE,10.3306,15.4959,3.4435,44.6429,1.252,16.0821,5605.164,2.6058,8.6314
8805,2009,NSE,10.3306,15.4959,3.4435,44.6429,1.2641,18.0316,6762.514,3.9924,8.8191
8806,2010,NSE,10.3306,15.4959,3.4435,44.6429,1.2425,19.0067,8405.638,3.126,9.0367
8807,2011,NSE,10.3306,15.4959,3.4435,44.6429,1.2229,18.1396,10332.361,3.8884,9.243
8808,2012,NSE,10.3306,15.4959,3.4435,44.6429,1.1901,16.1287,11829.078,3.8375,9.3783
8809,2013,NSE,10.3306,15.4959,3.4435,44.6429,1.1604,14.2538,13487.339,2.9054,9.5095
8810,2014,NSE,10.3306,15.4959,3.4435,44.6429,1.1703,15.8116,16097.289,2.5389,9.6864
8811,2015,NSE,10.3306,15.4959,3.4435,44.6429,1.1887,10.0512,18218.132,2.4245,9.8102
8812,2016,NSE,10.3306,15.4959,3.4435,44.6429,1.1756,9.9731,19718.188,2.293,9.8893
8813,2017,NSE,10.3306,15.4959,3.4435,44.6429,1.1562,13.7271,22626.81,1.8567,10.0269
8814,2018,NSE,10.3306,15.4959,3.4435,44.6429,3.0254,16.2133,-314.6092,2.4961,5.7513
8815,2019,NSE,10.3306,15.4959,3.4435,44.6429,2.832,16.0094,1313.7666,2.5324,7.1807
8816,2020,NSE,10.3306,15.4959,3.4435,44.6429,2.6386,15.8054,2942.1424,2.5686,7.9869
8817,2021,NSE,10.3306,15.4959,3.4435,44.6429,2.4452,15.6015,4570.5182,2.6049,8.4274
8818,2022,NSE,10.3306,15.4959,3.4435,44.6429,2.2518,15.3975,6198.894,2.6411,8.7321
8819,2023,NSE,10.3306,15.4959,3.4435,44.6429,2.0584,15.1936,7827.2698,2.6774,8.9654
8988,2003,HGSL,7.9731,-2.5319,2.6577,51.839,1.2774,-4.2963,-22785.6487,0.5787,10.0339
8989,2004,HGSL,9.3508,-2.2908,3.1169,53.2503,1.3081,-2.9936,-18218.1887,0.5961,9.8102
8990,2005,HGSL,10.7285,-2.0497,3.5762,54.6617,1.3387,-1.6909,-13650.7286,0.6136,9.5215
8991,2006,HGSL,12.1062,-1.8086,4.0354,56.073,1.3693,-0.3882,-9083.2686,0.631,9.1142
8992,2007,HGSL,13.4839,-1.5675,4.4946,57.4843,1.4,0.9146,10213.6357,0.6485,9.2315
8993,2008,HGSL,14.8616,-1.3264,4.9539,58.8957,1.3621,9.0125,9185.0322,0.8971,9.1253
8994,2009,HGSL,16.2394,-1.0853,5.4131,60.307,1.244,8.9099,11862.314,0.2286,9.3811
8995,2010,HGSL,17.6171,-0.8442,5.8724,61.7183,1.2557,10.8827,12048.3008,0.9608,9.3967
8996,2011,HGSL,18.9948,-0.6031,6.3316,63.1297,1.3148,8.381,13562.207,0.7606,9.515
8997,2012,HGSL,22.1004,0.0,7.3668,66.1349,1.6336,6.0483,21512.121,0.5828,9.9764
8998,2013,HGSL,17.9157,0.0,5.9719,53.6123,1.7693,4.295,20662.694,0.46,9.9361
8999,2014,HGSL,21.0542,0.0,7.0181,63.0042,1.6729,7.5423,24297.27,0.7844,10.0981
9000,2015,HGSL,25.43,0.0,8.4767,76.0987,1.7824,7.3297,20732.376,1.0921,9.9395
9001,2016,HGSL,25.43,0.0,8.4767,76.0987,2.0034,4.4507,24598.69,0.6654,10.1104
9002,2017,HGSL,31.013,1.2383,10.3377,76.0987,1.9554,7.2571,24789.729,0.904,10.1182
9003,2018,HGSL,31.013,1.2383,10.3377,76.0987,1.7877,7.522,26279.909,1.1086,10.1766
9004,2019,HGSL,29.9869,0.7551,9.9956,76.0987,1.7693,6.3317,29685.643,0.784,10.2984
9005,2020,HGSL,31.3952,2.084,10.4651,76.0987,2.0934,5.7368,40717.651,0.6129,10.6144
9006,2021,HGSL,32.7834,2.084,10.9278,76.0987,2.2124,7.9854,43448.984,1.7286,10.6793
9007,2022,HGSL,33.6385,2.084,11.2128,76.0987,1.4213,86.8126,97165.467,0.5479,11.4842
9008,2023,HGSL,33.6385,2.084,11.2128,76.0987,1.2876,3.306,113643.796,0.6315,11.6408
9198,2003,GRFL,28.7194,0.0,9.5731,82.36,1.3323,-2.0201,-20932.0299,7.5993,9.949
9199,2004,GRFL,28.7194,0.0,9.5731,82.36,1.3447,-1.4718,-18583.1782,7.3065,9.83
9200,2005,GRFL,28.7194,0.0,9.5731,82.36,1.3572,-0.9235,-16234.3264,7.0137,9.6949
9201,2006,GRFL,28.7194,0.0,9.5731,82.36,1.3696,-0.3753,-13885.4747,6.7209,9.5386
9202,2007,GRFL,28.7194,0.0,9.5731,82.36,1.3821,0.173,-11536.6229,6.4281,9.3533
9203,2008,GRFL,28.7194,0.0,9.5731,82.36,1.3945,0.7213,-9187.7712,6.1353,9.1256
9204,2009,GRFL,28.7194,0.0,9.5731,82.36,1.407,1.2696,-6838.9194,5.8425,8.8304
9205,2010,GRFL,28.7194,0.0,9.5731,82.36,1.4194,1.8179,-4490.0677,5.5497,8.4096
9206,2011,GRFL,28.7194,0.0,9.5731,82.36,1.4318,2.3662,-2141.2159,5.2569,7.6691
9207,2012,GRFL,28.7194,0.0,9.5731,82.36,1.4443,2.9145,207.6358,4.9641,5.3358
9208,2013,GRFL,28.7194,0.0,9.5731,82.36,1.4567,3.4628,2556.4876,4.6713,7.8464
9209,2014,GRFL,28.7194,0.0,9.5731,82.36,1.4692,4.0111,4905.3393,4.3785,8.4981
9210,2015,GRFL,28.7194,0.0,9.5731,82.36,1.4816,4.5594,9471.7279,4.0857,9.1561
9211,2016,GRFL,28.7194,0.0,9.5731,82.36,1.3868,5.1416,10612.2028,3.7929,9.2698
9212,2017,GRFL,28.7194,0.0,9.5731,82.36,1.6237,3.5133,12103.7734,3.5001,9.4013
9213,2018,GRFL,28.7194,0.0,9.5731,82.36,1.5061,7.3001,10685.1303,3.2073,9.2766
9214,2019,GRFL,28.7194,0.0,9.5731,82.36,1.3629,11.181,9227.8331,2.9145,9.13
9215,2020,GRFL,28.7194,0.0,9.5731,82.36,1.6932,6.1209,24365.648,2.6217,10.1009
9216,2021,GRFL,28.7194,0.0,9.5731,82.36,1.7326,3.9012,23996.423,2.3289,10.0857
9217,2022,GRFL,28.7194,0.0,9.5731,82.36,1.5538,9.2587,24345.768,2.0361,10.1001
9218,2023,GRFL,28.7194,0.0,9.5731,82.36,1.4418,9.7968,25037.876,1.7433,10.1281
10647,2003,BFUT,10.2023,-0.5148,3.4008,42.2173,2.2873,0.1679,6281.2754,0.1892,8.7453
10648,2004,BFUT,11.3873,-0.4522,3.7958,44.3658,2.6124,2.7985,6946.2051,0.39,8.846
10649,2005,BFUT,12.5723,-0.3895,4.1908,46.5143,2.1199,30.267,8738.4268,3.5248,9.0755
10650,2006,BFUT,13.7573,-0.3269,4.5858,48.6628,1.7218,8.787,8727.2637,12.5538,9.0742
10651,2007,BFUT,14.9424,-0.2643,4.9808,50.8113,1.6157,11.5949,10125.8447,14.2613,9.2228
10652,2008,BFUT,18.2778,0.0,6.0926,54.696,1.5859,11.3104,11665.2754,6.4927,9.3644
10653,2009,BFUT,18.2778,0.0,6.0926,54.696,3.5503,-1.0469,18390.795,31.6851,9.8196
10654,2010,BFUT,18.2778,0.0,6.0926,54.696,19.9144,-5.1509,16639.3857,58.7485,9.7195
10655,2011,BFUT,18.2778,0.0,6.0926,54.696,19.9144,-5.5068,20939.2199,58.7485,9.9494
10656,2012,BFUT,18.2778,0.0,6.0926,54.696,19.9144,-2.351,20395.7169,58.7485,9.9231
10657,2013,BFUT,18.2778,0.0,6.0926,54.696,19.9144,-2.2542,22559.4506,58.7485,10.0239
10658,2014,BFUT,23.2673,0.0,7.7558,69.6267,19.9144,-2.3112,22498.9257,58.7485,10.0212
10659,2015,BFUT,26.265,0.0,8.755,78.5972,19.9144,2.7399,22368.6427,58.7485,10.0154
10660,2016,BFUT,26.265,0.0,8.755,78.5972,19.9144,0.1373,22387.9698,58.7485,10.0163
10661,2017,BFUT,29.2023,0.4228,9.7341,78.5972,19.9144,0.1617,18740.488,58.7485,9.8384
10662,2018,BFUT,29.2023,0.4228,9.7341,78.5972,19.9144,1.294,18419.14,58.7485,9.8211
10663,2019,BFUT,28.6792,0.4228,9.5597,78.5972,19.9144,1.9988,20005.72,58.7485,9.9038
10664,2020,BFUT,31.2242,0.7551,10.4081,78.5972,19.9144,0.9458,21707.15,58.7485,9.9854
10665,2021,BFUT,31.2242,0.7551,10.4081,78.5972,19.9144,-0.1143,21494.69,58.7485,9.9756
10666,2022,BFUT,32.6225,0.7551,10.8742,78.5972,19.9144,2.3635,21514.75,58.7485,9.9765
10667,2023,BFUT,32.6225,0.7551,10.8742,78.5972,19.9144,5.6701,22368.786,58.7485,10.0154
11319,2003,SJET,-5.1316,-2.029,-1.7105,10.529,,-4.9516,-74792.8551,,11.2225
11320,2004,SJET,-2.9386,-1.8352,-0.9795,14.5876,0.451996954,-5.0921,-65878.7458,-5.27,11.0956
11321,2005,SJET,-0.7456,-1.6413,-0.2485,18.6462,1.052243154,-5.2326,-56964.6365,-29.92,10.9502
11322,2006,SJET,1.4475,-1.4475,0.4825,22.7048,3.052186178,-5.3731,-48050.5272,-94.0,10.78
11323,2007,SJET,3.6405,-1.2537,1.2135,26.7634,5.418159152,-5.5136,-39136.4179,5.84,10.5748
11324,2008,SJET,5.8335,-1.0598,1.9445,30.822,5.656679825,-5.6541,-30222.3085,35.11,10.3163
11325,2009,SJET,8.0265,-0.866,2.6755,34.8807,3.222056261,-5.7946,-21308.1992,-0.75,9.9668
11326,2010,SJET,10.2196,-0.6721,3.4065,38.9393,4.08901108,-5.9351,-12394.0899,-4.05,9.425
11327,2011,SJET,12.4126,-0.4783,4.1375,42.9979,2.737209532,-6.0756,-3479.9806,4.84,8.1548
11328,2012,SJET,14.6056,-0.2844,4.8685,47.0565,4.463336731,-6.2161,5434.1287,-6.79,8.6005
11329,2013,SJET,21.0542,0.0,7.0181,63.0042,6.340476928,-6.3566,30710.1,-5.75,10.3323
11330,2014,SJET,15.9441,0.0,5.3147,47.7122,5.482121507,-33.411,29344.67,-0.74,10.2869
11331,2015,SJET,15.9441,0.0,5.3147,47.7122,4.348302611,-24.7987,26065.9,-1.03,10.1684
11332,2016,SJET,15.9441,0.0,5.3147,47.7122,4.748869797,16.496,28467.06,-3.69,10.2565
11333,2017,SJET,29.9266,1.2383,9.9755,76.0987,4.989406956,14.6375,29906.15,-10.01,10.3058
11334,2018,SJET,34.242,1.2383,11.414,84.8585,6.87623655,15.8978,40192.53,-174.79,10.6014
11335,2019,SJET,32.2704,1.2383,10.7568,78.9585,7.995514573,-6.8544,48046.49,-16.72,10.7799
11336,2020,SJET,35.6302,1.2383,11.8767,84.8585,21.60848554,-10.6035,128605.53,-1.4,11.7645
11337,2021,SJET,35.7409,1.5705,11.9136,84.8585,18.92954371,-8.5072,113516.91,-1.62,11.6397
11338,2022,SJET,34.3527,1.5705,11.4509,84.8585,15.81984048,-16.6848,95545.56,-0.76,11.4674
11339,2023,SJET,34.3527,1.5705,11.4509,84.8585,17.08028579,-17.4653,77705.731,-0.56,11.2607
11655,2003,RIIL,5.22,-5.2839,1.74,43.3601,1.7315,12.7165,2053.9035,4.9145,7.6275
11656,2004,RIIL,7.0091,-4.6345,2.3364,45.6146,1.6946,12.1537,2181.0373,4.7331,7.6876
11657,2005,RIIL,8.7982,-3.9852,2.9327,47.8691,1.6577,11.5909,2308.171,4.5517,7.7442
11658,2006,RIIL,10.5873,-3.3359,3.5291,50.1236,1.6208,11.0281,2435.3048,4.3703,7.7978
11659,2007,RIIL,12.3763,-2.6866,4.1254,52.3781,1.5839,10.4653,2562.4386,4.1889,7.8487
11660,2008,RIIL,14.1654,-2.0373,4.7218,54.6326,1.547,9.9025,2689.5723,4.0075,7.8971
11661,2009,RIIL,15.9545,-1.388,5.3182,56.8871,1.5101,9.3397,4640.892,2.3163,8.4427
11662,2010,RIIL,21.0542,0.0,7.0181,63.0042,1.8709,6.3327,2299.465,6.7278,7.7404
11663,2011,RIIL,20.1288,0.0,6.7096,60.2348,1.2576,9.3849,2470.775,4.8222,7.8123
11664,2012,RIIL,20.1288,0.0,6.7096,60.2348,1.3235,8.6593,2982.779,3.0478,8.0006
11665,2013,RIIL,20.1288,0.0,6.7096,60.2348,1.3438,8.1264,3017.534,2.0261,8.0122
11666,2014,RIIL,23.2673,0.0,7.7558,69.6267,1.2762,7.8549,3128.865,2.332,8.0484
11667,2015,RIIL,22.9152,0.0,7.6384,68.5731,1.2339,6.9611,3212.645,2.2698,8.0748
11668,2016,RIIL,22.9152,0.0,7.6384,68.5731,1.1865,4.6968,3824.776,1.9933,8.2493
11669,2017,RIIL,33.0148,0.4228,11.0049,81.0957,1.1425,4.4393,3842.466,2.02,8.2539
11670,2018,RIIL,37.6622,11.8695,12.5541,83.5942,1.1234,2.7797,3980.358,1.8485,8.2891
11671,2019,RIIL,39.0504,11.8695,13.0168,83.5942,1.115,2.3059,4100.228,1.3292,8.3188
11672,2020,RIIL,39.1812,11.8695,13.0604,83.5942,1.1126,2.3553,4143.698,0.8344,8.3293
11673,2021,RIIL,39.1812,11.8695,13.0604,83.5942,1.1032,2.2363,4486.075,1.3362,8.4087
11674,2022,RIIL,36.2941,0.4228,12.098,83.5942,1.0852,1.8176,4704.138,2.7022,8.4562
11675,2023,RIIL,36.2941,0.4228,12.098,83.5942,1.0933,3.7108,4764.942,2.7381,8.469
