,Year,Company Name,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,NET_WORTH_GROWTH,SALES_REV_TURN,RETURN_ON_ASSET,IS_EPS,WACC
7848,2018,VTEX,33.0953,2.084,13.422,83.5942,15.9242,62482.7,7.3752,20.9077,9.222
7849,2019,VTEX,33.0953,2.084,13.422,83.5942,12.8748,68779.2,8.4671,25.8754,9.2408
7850,2020,VTEX,33.3769,2.9296,13.422,83.5942,8.1622,67350.0,6.2877,20.444,10.898
7851,2021,VTEX,34.3024,2.9296,16.2031,83.5942,6.951,60632.8,4.3684,14.6606,8.2907
7852,2022,VTEX,34.3024,2.9296,16.2031,83.5942,19.101,94015.8,15.0212,272.9,8.2352
7853,2023,VTEX,34.3024,2.9296,16.2031,83.5942,11.1592,101374.9,7.1278,137.5233,9.1034
8589,2003,ALOK,,,,,,,,,
8590,2004,ALOK,,,,,,,,,
8591,2005,ALOK,,,,,,,,,
8592,2006,ALOK,,,,,,,,,
8593,2007,ALOK,,,,,,18102.0,,8.7908,6.2447
8594,2008,ALOK,18.9216,4.7116,0.0,51.9266,39.8293,22675.8008,2.9429,9.857,4.1025
8595,2009,ALOK,22.704,4.7116,3.023,60.2348,34.961,30907.8,0.824,3.7657,5.8243
8596,2010,ALOK,19.9276,4.7116,3.023,51.9266,44.2524,44243.4,1.1699,2.5349,6.8021
8597,2011,ALOK,19.9276,4.7116,3.023,51.9266,0.2542,66057.2,2.0678,3.9421,7.9421
8598,2012,ALOK,23.8708,2.99,0.4534,68.0012,2.4466,97762.6,0.4942,1.1477,5.2274
8599,2013,ALOK,29.3029,3.8055,15.9613,68.0012,2.4466,131819.0,0.4942,9.56,10.7033
8600,2014,ALOK,32.8538,7.2486,15.9613,75.1957,2.4466,131819.0,0.4942,9.56,10.9179
8601,2015,ALOK,31.4254,5.527,7.4667,81.0957,25.0605,129160.0,-13.7594,-31.63,10.1125
8602,2016,ALOK,28.7194,5.1948,4.6856,76.0987,-62.9135,87164.5,-9.3303,-22.71,9.09
8603,2017,ALOK,28.991,6.9163,4.6856,75.1957,-62.9135,55079.9,-72.2839,-136.82,9.7126
8604,2018,ALOK,27.3614,6.9163,4.6856,70.3191,12.3458,33522.4,11.3092,15.17,9.4312
8605,2019,ALOK,25.9833,1.7517,5.7134,70.3191,15.7969,32976.8,7.2548,9.05,8.9304
