,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,ALTMAN_Z_SCORE,TOBIN_Q_RATIO,RETURN_ON_ASSET,FNCL_LVRG,BOOK_VAL_PER_SH,PX_TO_BOOK_RATIO,NET_WORTH_GROWTH,TOT_DEBT_TO_COM_EQY,Liquidity,IND_RISK_DUMMY
count,7984.0,7984.0,7984.0,7984.0,7984.0,7984.0,7984.0,7984.0,7984.0,7984.0,7984.0,7984.0,7984.0,7984.0
mean,28.857065293086173,9.067260483466931,12.497223271543085,67.81312885771544,6.610098509519039,2.961529346192385,6.95759261022044,4.636546314863602,31322.497827029063,5.076253406813627,20.546904008016032,241.06571462925854,1.86075934036054,0.6372745490981964
std,13.527948523743714,17.7138823156214,14.205598109119233,15.042725129628602,20.761557921764897,8.847177283512744,13.824538503594585,24.988922218294736,2171797.338199503,30.904887309944915,115.03607086688355,3086.710896647416,8.298296340616776,0.48081665337592294
min,-70.7711,-141.0995,-87.9719,-138.9324,-51.4997,-39.5268,-315.6658,-50.8424,-14454.2767,-918.6522,-6151.3513,-12838.6536,-296.29368154812556,0.0
25%,21.0542,0.4228,2.5695,59.8736,1.7462,1.054775,2.364725,1.5778,27.120225,1.1195249999999999,4.4609000000000005,8.01195,1.0424772103595734,0.0
50%,27.3514,3.8659,11.2011,69.8722,3.166,1.5676,6.2749500000000005,2.2018500000000003,69.4344,2.32035,12.68445,45.3505,1.4223642226922613,1.0
75%,35.33345,15.4959,20.0726,78.5972,6.655925,2.903325,12.041825000000001,3.29325,165.578375,4.84,23.2728,113.52485,2.133829585776093,1.0
max,76.9842,81.1839,69.8912,107.345,527.8388,285.8336,107.8281,812.7592,192556080.3,566.6242,2338.2611,93840.0314,531.1509990390076,1.0
