,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,ALTMAN_Z_SCORE,TOBIN_Q_RATIO,RETURN_ON_ASSET,FNCL_LVRG,BOOK_VAL_PER_SH,PX_TO_BOOK_RATIO,NET_WORTH_GROWTH,TOT_DEBT_TO_COM_EQY,Liquidity,IND_RISK_DUMMY
count,352.0,352.0,352.0,352.0,352.0,352.0,352.0,352.0,352.0,352.0,352.0,352.0,352.0,352.0
mean,27.2958,5.5388,12.6668,70.7423,5.7858,2.4757,7.0308,4.2786,112.0922,-1.6037,6.3335,316.1245,1.7981,1.0
std,10.7757,9.8794,10.9763,13.0836,5.2878,1.9498,9.7403,5.3462,179.1662,108.3952,64.0068,2704.3177,1.8081,0.0
min,2.2425,0.3322,0.123,30.822,-1.9862,0.3789,-33.411,1.0545,-162.0169,-918.6522,-525.8298,-12838.6536,-15.8379,1.0
25%,20.672,1.0873,2.6862,63.0042,1.9268,1.2433,2.3766,1.4053,18.3643,1.1538,-0.6516,6.537,0.9038,1.0
50%,28.2165,2.0,10.1118,76.0987,4.5686,1.9964,6.5636,2.1849,60.6264,2.6678,9.469,49.4418,1.4419,1.0
75%,33.5404,2.563,19.9819,78.5972,8.1178,3.2451,10.4066,3.7864,161.9323,4.9842,20.3122,107.257,2.5204,1.0
max,71.2906,61.1598,62.7872,90.7328,36.0975,18.2173,86.8126,23.4412,1868.2605,566.6242,330.3592,26934.8037,8.7487,1.0
